Codigo,Nombre,Marca,Estatus,Asignado a,Observaciones,Fecha Modificacion
2140,MODULO INDICADOT TORREY WI-W ,Equilinea,Por revisar,,,
2141,MOLINO P/CARNE TORREY M32 3HP MONOFÁSICO       ,Naresa,Por revisar,,,
2141,MOLINO P/CARNE TORREY M32 3HP MONOFÁSICO       ,Equilinea,Por revisar,,,
2191,MARINADORA TORREY MV-25                                                                             ,Naresa,Por revisar,,,
2191,MARINADORA TORREY MV-25                                                                             ,Equilinea,Por revisar,,,
2200,BASCULA TORREY SMART 40 KGS SX 40 ,Naresa,Por revisar,,,
2200,BASCULA TORREY SMART 40 KGS SX 40 ,Equilinea,Por revisar,,,
2215,"BASCULA COLGANTE TORREY 5,000 Kg. CRS5000      ",Naresa,Por revisar,,,
2215,"BASCULA COLGANTE TORREY 5,000 Kg. CRS5000      ",Equilinea,Por revisar,,,
2217,SIERRA TORREY ST-305 TRIFASICA         ,Naresa,Por revisar,,,
2217,SIERRA TORREY ST-305 TRIFASICA         ,Equilinea,Por revisar,,,
